"Split","Time","Moving Time","GetDistance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:04:00    ","00:04:00    ","1","8","4","00:03:58    ","00:03:59    ","00:03:50    ","82","87","152","137","150","21","55"
"2","00:02:00    ","00:02:00    ","0.34","0","3","00:05:54    ","00:05:49    ","00:03:53    ","85","86","100","141","151","20","16"
"3","00:04:00    ","00:04:00    ","1.06","2","7","00:03:47    ","00:03:53    ","00:03:32    ","88","94","149","161","174","19","59"
"4","00:02:00    ","00:02:00    ","0.34","2","1","00:05:50    ","00:05:37    ","00:03:39    ","85","91","101","153","173","19","17"
"5","00:04:00    ","00:04:00    ","1.04","15","4","00:03:52    ","00:03:56    ","00:03:34    ","90","91","144","158","172","19","57"
"6","00:02:00    ","00:02:00    ","0.28","0","3","00:07:04    ","00:07:04    ","00:03:43    ","84","89","84","137","171","18","12"
"7","00:04:00    ","00:04:00    ","1.05","3","6","00:03:49    ","00:03:54    ","00:03:38    ","89","91","147","158","170","18","58"
"8","00:02:00    ","00:02:00    ","0.30","0","4","00:06:41    ","00:06:15    ","00:03:42    ","83","89","90","142","170","18","14"
"9","00:04:00    ","00:04:00    ","1.08","8","5","00:03:42    ","00:03:43    ","00:03:28    ","88","90","153","156","165","18","63"
"10","00:02:00    ","00:02:00    ","0.22","0","0","00:09:05    ","00:07:22    ","00:03:38    ","82","88","67","134","163","18","11"
"11","00:04:00    ","00:04:00    ","1.12","5","3","00:03:34    ","00:03:36    ","00:03:17    ","89","93","158","158","178","18","65"
"12","00:02:00    ","00:02:00    ","0.25","0","1","00:07:51    ","00:07:16    ","00:03:38    ","83","87","77","137","166","18","11"
"Summary","00:36:00    ","00:36:00    ","8.09","43","41","00:04:27    ","00:04:26    ","00:03:17    ","86","94","130","150","178","19","438"
